 Candidate State, Age Range, Sex, Study area, Study Title, Years Experience, Sector, event_type__val,Expected Ral, Residence State, Residence Italian Region, European Residence
First contact,late 20s,Female,computer engineering,Three-year degree,between 5 and 7,Not Specified,CV request,Not Given,ITALY,Tuscany,Yes
In selection,late 20s,Male,Biomedical Engineering,Five-year degree,none,Others,Technical interview,Not available,ITALY,Sicily,Yes
Hired,early 30s,Male,electronic Engineering,Three-year degree,between 1 and 3,Consulting,BM interview,28-30 K,ITALY,Lazio,Yes
Hired,early 40s,Male,Automation/Mechatronics Engineering,Five-year degree,more than 10,Consulting,BM interview,+ 50 K,ITALY,Lombardy,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Automotive,CV request,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Space,Candidate notification,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Not Specified,Qualification Meeting,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Aeronautics,Research association,28-30 K,ITALY,Piedmont,Yes
Hired,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Space,BM interview,30-32 K,ITALY,Piedmont,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 3 and 5,Others,BM interview,Not Given,ITALY,Piedmont,Yes
QM,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Not Specified,Qualification Meeting,28-30 K,ITALY,Puglia,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Automotive,CV request,Not available,ITALY,Puglia,Yes
In selection,early 30s,Male,computer engineering,Five-year degree,between 3 and 5,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Male,electronic Engineering,Doctorate,between 3 and 5,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 30s,Male,Mechanical engineering,Five-year degree,between 5 and 7,Others,CV request,Not available,ITALY,Piedmont,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 0 and 1,Telecom,BM interview,26-28 K,ITALY,Puglia,Yes
Hired,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Automotive,BM interview,34-36 K,ITALY,Tuscany,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,Candidate notification,Not Given,ITALY,Lombardy,Yes
First contact,early 30s,Male,Biomedical Engineering,Five-year degree,between 3 and 5,Life sciences,Contact note,40-42 K,ITALY,Piedmont,Yes
Hired,early 30s,Male,electronic Engineering,Five-year degree,none,Others,Sending SC to customer,Not Given,ITALY,Abruzzo,Yes
In selection,late 20s,Male,Energy and Nuclear Engineering,Five-year degree,between 3 and 5,Railway,HR interview,Not Given,ITALY,Emilia Romagna,Yes
Hired,early 40s,Male,computer engineering,Five-year degree,more than 10,Telecom,HR interview,36-38 K,ITALY,Lombardy,Yes
Hired,early 40s,Male,electronic Engineering,Five-year degree,between 5 and 7,Defence,BM interview,36-38 K,ITALY,Tuscany,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 0 and 1,Automotive,Sending SC to customer,26-28 K,ITALY,Puglia,Yes
In selection,less than 20 years,Male,computer engineering,Five-year degree,between 1 and 3,Automotive,Contact note,34-36 K,ITALY,Liguria,Yes
Economic proposal,early 30s,Female,Biomedical Engineering,Five-year degree,between 5 and 7,Life sciences,Contact note,Not available,ITALY,Abruzzo,Yes
In selection,more than 45 years,Male,Informatics,High school graduation,more than 10,Defence,Candidate notification,48-50 K,ITALY,Abruzzo,Yes
Hired,late 30s,Male,Informatics,High school graduation,more than 10,Life sciences,BM interview,40-42 K,ITALY,Emilia Romagna,Yes
Hired,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,master's degree,between 3 and 5,Others,Technical interview,Not Given,ITALY,Campania,Yes
In selection,late 20s,Female,Management Engineering,Three-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Biomedical Engineering,Three-year degree,between 3 and 5,Life sciences,HR interview,Not Given,ITALY,Sicily,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 3 and 5,Others,Contact note,Not Given,ITALY,Puglia,Yes
Hired,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Not Specified,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,late 20s,Male,Automotive Engineering,Five-year degree,between 0 and 1,Others,BM interview,Not Given,ITALY,Marche,Yes
In selection,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Automotive,CV request,Not available,ITALY,Campania,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Others,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Female,Management Engineering,Five-year degree,none,Not Specified,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,late 30s,Male,Mechanical engineering,Three-year degree,none,Others,BM interview,Not Given,ITALY,Friuli Venezia Giulia,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,between 3 and 5,Aeronautics,BM interview,Not available,ITALY,Liguria,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Not Specified,Contact note,34-36 K,ITALY,Puglia,Yes
In selection,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,between 3 and 5,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
QM,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Aeronautics,Candidate notification,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 1 and 3,Others,BM interview,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Female,Biomedical Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,between 0 and 1,Others,BM interview,Not Given,ITALY,Tuscany,Yes
QM,late 20s,Female,Automotive Engineering,Five-year degree,between 1 and 3,Others,BM interview,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,electronic Engineering,Five-year degree,between 1 and 3,Automotive,Contact note,Not Given,ITALY,Campania,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Liguria,Yes
Hired,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,between 3 and 5,Not Specified,Candidate notification,Not Given,ITALY,Calabria,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,CV request,44-46 K,ITALY,Piedmont,Yes
Economic proposal,late 20s,Male,Biomedical Engineering,Five-year degree,none,Others,Candidate notification,Not available,ITALY,Abruzzo,Yes
First contact,late 20s,Male,Biomedical Engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Liguria,Yes
Hired,early 30s,Female,Management Engineering,Five-year degree,between 0 and 1,Consulting,Technical interview,28-30 K,ITALY,Emilia Romagna,Yes
In selection,early 30s,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Others,BM interview,34-36 K,ITALY,Calabria,Yes
Hired,more than 45 years,Male,Informatics,High school graduation,between 7 and 10,Aeronautics,Contact note,34-36 K,ITALY,Piedmont,Yes
Hired,late 30s,Male,Other scientific subjects,Five-year degree,between 3 and 5,Services and Information Systems,BM interview,26-28 K,ITALY,Lombardy,Yes
In selection,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Telecom,BM interview,+ 50 K,ITALY,Lombardy,Yes
Hired,early 30s,Female,Mechanical engineering,Five-year degree,between 1 and 3,Life sciences,HR interview,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Male,Automotive Engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
QM,early 30s,Male,Mechanical engineering,Three-year degree,between 5 and 7,Automotive,CV request,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 5 and 7,Others,HR interview,Not available,ITALY,Puglia,Yes
In selection,early 30s,Male,electronic Engineering,Five-year degree,between 5 and 7,Not Specified,CV request,32-34 K,ITALY,Puglia,Yes
In selection,early 30s,Male,industrial engineering,Three-year degree,between 1 and 3,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Female,electronic Engineering,Three-year degree,between 1 and 3,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Hired,early 30s,Female,computer engineering,Three-year degree,between 5 and 7,Railway,HR interview,Not Given,ITALY,Puglia,Yes
First contact,early 30s,Male,Management Engineering,Five-year degree,between 3 and 5,Services and Information Systems,CV request,36-38 K,ITALY,Puglia,Yes
In selection,early 30s,Male,Mechanical engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Three-year degree,between 5 and 7,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,Candidate notification,Not Given,ITALY,Puglia,Yes
Hired,early 30s,Female,Automotive Engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 1 and 3,Not Specified,Contact note,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Male,electronic Engineering,Five-year degree,none,Consulting,Contact note,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Male,Automotive Engineering,Five-year degree,between 3 and 5,Automotive,Contact note,Not Given,ITALY,Emilia Romagna,Yes
QM,early 30s,Male,computer engineering,Three-year degree,between 5 and 7,Others,Sending SC to customer,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,computer engineering,Three-year degree,between 1 and 3,Not Specified,Contact note,Not Given,ITALY,Puglia,Yes
Economic proposal,late 20s,Male,electronic Engineering,Three-year degree,between 5 and 7,Others,BM interview,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Female,computer engineering,Five-year degree,between 1 and 3,Railway,Sending SC to customer,30-32 K,ITALY,Puglia,Yes
Hired,late 20s,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Telecom,BM interview,Not Given,ITALY,Puglia,Yes
QM,late 20s,Male,Mechanical engineering,Three-year degree,between 1 and 3,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
QM,late 30s,Male,computer engineering,Five-year degree,between 3 and 5,Others,CV request,Not Given,ITALY,Puglia,Yes
Hired,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Automotive,CV request,Not available,ITALY,Puglia,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,Contact note,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Automotive,BM interview,30-32 K,ITALY,Emilia Romagna,Yes
First contact,late 20s,Female,Mechanical engineering,Three-year degree,between 0 and 1,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Others,Contact note,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 0 and 1,Not Specified,Contact note,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Male,Other,master's degree,between 3 and 5,Automotive,HR interview,26-28 K,ITALY,Basilicata,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Energy,Contact note,Not Given,ITALY,Piedmont,Yes
Hired,late 20s,Male,Mechanical engineering,Five-year degree,between 5 and 7,Others,CV request,26-28 K,ITALY,Puglia,Yes
First contact,early 30s,Male,industrial engineering,Three-year degree,between 3 and 5,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
In selection,early 40s,Male,computer engineering,Five-year degree,between 3 and 5,Services and Information Systems,HR interview,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,computer engineering,Three-year degree,between 5 and 7,Services and Information Systems,CV request,Not available,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Others,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Puglia,Yes
QM,late 20s,Male,electronic Engineering,Five-year degree,none,Machining - Heavy Industry,Technical interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Female,electronic Engineering,Five-year degree,none,Others,HR interview,Not Given,ITALY,Puglia,Yes
Hired,late 30s,Male,computer engineering,Three-year degree,between 1 and 3,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
QM,late 20s,Male,Mechanical engineering,Five-year degree,none,Others,HR interview,Not Given,ITALY,Basilicata,Yes
Hired,late 20s,Male,Mechanical engineering,Five-year degree,none,Railway,Qualification Meeting,24-26 K,ITALY,Puglia,Yes
In selection,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 0 and 1,Machining - Heavy Industry,CV request,Not Given,ITALY,Puglia,Yes
QM,more than 45 years,Male,Surveyor,High school graduation,more than 10,Telecom,Contact note,38-40 K,ITALY,Lazio,Yes
QM,early 30s,Male,Mechanical engineering,Five-year degree,between 5 and 7,Automotive,Sending SC to customer,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Female,Mechanical engineering,Five-year degree,between 5 and 7,Life sciences,BM interview,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 5 and 7,Automotive,HR interview,44-46 K,ITALY,Piedmont,Yes
In selection,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Consulting,Contact note,Not Given,ITALY,Friuli Venezia Giulia,Yes
In selection,late 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Aeronautics,CV request,Not available,ITALY,Piedmont,Yes
Hired,early 30s,Male,electronic Engineering,Five-year degree,between 1 and 3,Others,Economic proposal,34-36 K,ITALY,Piedmont,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Automotive,Contact note,Not Given,ITALY,Veneto,Yes
Hired,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Hired,less than 20 years,Male,electronic Engineering,Three-year degree,between 3 and 5,Automotive,BM interview,24-26 K,ITALY,Puglia,Yes
Hired,late 20s,Female,Legal,High school graduation,none,Others,BM interview,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Female,Biomedical Engineering,Five-year degree,between 0 and 1,Not Specified,BM interview,Not Given,ITALY,Tuscany,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 3 and 5,Others,Contact note,Not Given,ITALY,Lombardy,Yes
Hired,less than 20 years,Male,Energy and Nuclear Engineering,Five-year degree,none,Others,CV request,24-26 K,ITALY,Lombardy,Yes
Hired,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Others,Candidate notification,38-40 K,ITALY,Lombardy,Yes
Hired,early 40s,Female,Telecommunications Engineering,Five-year degree,more than 10,Automotive,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Male,Automation/Mechatronics Engineering,Five-year degree,between 3 and 5,Automotive,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,master's degree,between 3 and 5,Space,Contact note,Not Given,ITALY,Sicily,Yes
In selection,early 30s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,electronic Engineering,Three-year degree,none,Not Specified,Contact note,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 0 and 1,Services and Information Systems,Contact note,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Telecom,Contact note,Not available,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Three-year degree,between 3 and 5,Automotive,CV request,Not available,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Others,Contact note,Not Given,ITALY,Puglia,Yes
Hired,late 20s,Female,Mechanical engineering,Three-year degree,between 1 and 3,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
In selection,early 30s,Male,electronic Engineering,Three-year degree,between 1 and 3,Not Specified,Candidate notification,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,computer engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Railway,Candidate notification,28-30 K,ITALY,Puglia,Yes
Hired,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Others,HR interview,46-48 K,ITALY,Tuscany,Yes
Hired,late 30s,Male,Biomedical Engineering,Five-year degree,between 3 and 5,Life sciences,Candidate notification,34-36 K,ITALY,Emilia Romagna,Yes
First contact,more than 45 years,Male,electronic Engineering,Five-year degree,none,Consulting,Not Specified,42-44 K,ITALY,Lombardy,Yes
QM,more than 45 years,Male,Telecommunications Engineering,Five-year degree,more than 10,Others,Candidate notification,+ 50 K,ITALY,Tuscany,Yes
In selection,late 20s,Male,Mechanical engineering,Three-year degree,between 5 and 7,Others,BM interview,Not Given,ITALY,Liguria,Yes
Hired,late 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Aeronautics,Contact note,28-30 K,ITALY,Piedmont,Yes
Hired,early 30s,Male,Telecommunications Engineering,Five-year degree,between 5 and 7,Telecom,Qualification Meeting,24-26 K,ITALY,Lazio,Yes
Hired,early 40s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 7 and 10,Automotive,Contact note,Not Given,ITALY,Emilia Romagna,Yes
First contact,early 30s,Male,Telecommunications Engineering,Five-year degree,between 1 and 3,Telecom,Technical interview,Not Given,ITALY,Lombardy,Yes
Hired,more than 45 years,Male,computer engineering,Five-year degree,between 7 and 10,Consulting,BM interview,40-42 K,ITALY,Lombardy,Yes
In selection,more than 45 years,Male,electronic Engineering,Five-year degree,more than 10,Services and Information Systems,BM interview,Not Given,ITALY,Lombardy,Yes
Hired,less than 20 years,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Space,BM interview,Not Given,ITALY,Not Italian Region,Yes
Hired,early 30s,Female,Mechanical engineering,Five-year degree,between 5 and 7,Services and Information Systems,BM interview,22-24 K,ITALY,Puglia,Yes
In selection,early 40s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Aeronautics,Technical interview,Not Given,ITALY,Not Italian Region,Yes
Hired,late 30s,Male,Mechanical engineering,master's degree,between 7 and 10,Defence,BM interview,40-42 K,ITALY,Lazio,Yes
Hired,more than 45 years,Female,Telecommunications Engineering,Three-year degree,between 7 and 10,Railway,BM interview,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Female,industrial engineering,Three-year degree,none,Energy,BM interview,Not Given,ITALY,Sicily,Yes
In selection,early 40s,Male,electronic Engineering,Five-year degree,more than 10,Life sciences,Candidate notification,Not Given,ITALY,Emilia Romagna,Yes
In selection,early 40s,Male,Information Engineering,Five-year degree,between 7 and 10,Automotive,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,late 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Consulting,BM interview,Not Given,ITALY,Friuli Venezia Giulia,Yes
Hired,more than 45 years,Female,Telecommunications Engineering,Five-year degree,more than 10,Defence,HR interview,Not Given,ITALY,Lazio,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,between 3 and 5,Automotive,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Consulting,Candidate notification,Not Given,ITALY,Piedmont,Yes
Economic proposal,late 20s,Female,Biomedical Engineering,Five-year degree,between 3 and 5,Life sciences,Contact note,44-46 K,ITALY,Sardinia,Yes
Hired,late 20s,Female,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Hired,early 30s,Female,Biomedical Engineering,Five-year degree,none,Others,BM interview,Not Given,ITALY,Piedmont,Yes
Hired,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,Technical interview,Not Given,ITALY,Puglia,Yes
Hired,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Automotive,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 3 and 5,Others,BM interview,38-40 K,ITALY,Piedmont,Yes
First contact,late 30s,Male,electronic Engineering,Five-year degree,between 5 and 7,Space,Contact note,Not Given,ITALY,Lombardy,Yes
First contact,late 30s,Male,electronic Engineering,Five-year degree,more than 10,Automotive,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,late 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 3 and 5,Automotive,Candidate notification,Not Given,ITALY,Tuscany,Yes
Hired,less than 20 years,Male,Management Engineering,Five-year degree,between 0 and 1,Others,BM interview,Not Given,ITALY,Lombardy,Yes
In selection,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 5 and 7,Machining - Heavy Industry,BM interview,Not Given,ITALY,Tuscany,Yes
Hired,early 30s,Male,electronic Engineering,Three-year degree,between 3 and 5,Services and Information Systems,BM interview,Not Given,ITALY,Campania,Yes
Hired,late 30s,Male,Mechanical engineering,Five-year degree,between 5 and 7,Automotive,Candidate notification,Not Given,ITALY,Emilia Romagna,Yes
In selection,late 20s,Male,electronic Engineering,Three-year degree,none,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,electronic Engineering,Three-year degree,between 3 and 5,Not Specified,BM interview,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Female,computer engineering,Five-year degree,none,Others,HR interview,Not Given,ITALY,Basilicata,Yes
Hired,late 20s,Female,electronic Engineering,Five-year degree,between 1 and 3,Railway,BM interview,Not Given,ITALY,Lazio,Yes
